"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","AuCheck_ppm_Au-AA23","AuCheck_ppm_Au-AA24","AuCheck_ppm_Au-GRA22","RecvdWt_kg_WEI-21"
"JES-25-115","676223","3.05","4.575","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","1.645","Yuvitza.Davila","14/04/2025","","","","1.61"
"JES-25-115","676224","4.575","6.1","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","9.42","Yuvitza.Davila","14/04/2025","","","","9.4"
"JES-25-115","676225","6.1","7.625","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.14","Yuvitza.Davila","14/04/2025","","","","8.130000000000001"
"JES-25-115","676226","7.625","9.15","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","6.675","Yuvitza.Davila","14/04/2025","","","","6.65"
"JES-25-115","676227","9.15","10.675","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.44","Yuvitza.Davila","14/04/2025","","","","8.42"
"JES-25-115","676228","10.675","12.2","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","6.545","Yuvitza.Davila","14/04/2025","","","","6.52"
"JES-25-115","676229","12.2","13.725","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","6.165","Yuvitza.Davila","14/04/2025","","","","6.15"
"JES-25-115","676230","13.725","15.25","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.91","Yuvitza.Davila","14/04/2025","","","","8.890000000000001"
"JES-25-115","676231","15.25","16.775","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","7.545","Yuvitza.Davila","14/04/2025","","","","7.52"
"JES-25-115","676232","16.775","18.3","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","7.96","Yuvitza.Davila","14/04/2025","","","","7.93"
"JES-25-115","676233","18.3","19.825","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","7.39","Yuvitza.Davila","14/04/2025","","","","7.35"
"JES-25-115","676234","19.825","21.35","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.595","Yuvitza.Davila","14/04/2025","","","","8.58"
"JES-25-115","676236","21.35","22.875","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.27","Yuvitza.Davila","14/04/2025","","","","8.26"
"JES-25-115","676237","22.875","24.4","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","9.535","Yuvitza.Davila","14/04/2025","","","","9.52"
"JES-25-115","676238","24.4","25.925","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","7.965","Yuvitza.Davila","14/04/2025","","","","7.95"
"JES-25-115","676239","25.925","27.45","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","9.14","Yuvitza.Davila","14/04/2025","","","","9.119999999999999"
"JES-25-115","676240","27.45","28.975","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.755","Yuvitza.Davila","14/04/2025","","","","8.74"
"JES-25-115","676241","28.975","30.5","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","7.175","Yuvitza.Davila","14/04/2025","","","","7.2"
"JES-25-115","676242","30.5","32.025","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.7","Yuvitza.Davila","14/04/2025","","","","8.710000000000001"
"JES-25-115","676243","32.025","33.55","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","6.67","Yuvitza.Davila","14/04/2025","","","","6.67"
"JES-25-115","676244","33.55","35.075","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","8.83","Yuvitza.Davila","14/04/2025","","","","8.84"
"JES-25-115","676245","35.075","36.6","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","6.78","Yuvitza.Davila","14/04/2025","","","","6.79"
